date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:20:22	7690/7690	---M--	200	added ('OK')	image/png	etag:%221e0a-62d7157f-ce4bd3;;;%22	https://blablaland.co/data/backgr/old/menu/communaute_artclub.png	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/data/backgr/old/menu/communaute_artclub.png	(from https://blablaland.co/)
06:20:22	2461/2461	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2004:20:22%20GMT	https://blablaland.co/site/fansites.php	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/site/fansites.html	(from https://blablaland.co/)
06:20:22	9140/9140	---M--	200	added ('OK')	image/png	etag:%2223b4-62d7157f-ce4bd4;;;%22	https://blablaland.co/data/backgr/old/menu/communaute_fansite.png	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/data/backgr/old/menu/communaute_fansite.png	(from https://blablaland.co/)
06:20:22	2461/2461	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2004:20:22%20GMT	https://blablaland.co/site/annuaire_bbl.php	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/site/annuaire_bbl.html	(from https://blablaland.co/)
06:20:23	6956/6956	---M--	200	added ('OK')	image/png	etag:%221b2c-62d7157f-ce4bd2;;;%22	https://blablaland.co/data/backgr/old/menu/communaute_annuaire.png	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/data/backgr/old/menu/communaute_annuaire.png	(from https://blablaland.co/)
06:20:23	2461/2461	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2004:20:23%20GMT	https://blablaland.co/forum	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/forum.html	(from https://blablaland.co/)
06:20:23	2461/2461	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2004:20:23%20GMT	https://blablaland.co/site/mini_jeux.php	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/site/mini_jeux.html	(from https://blablaland.co/)
06:20:23	2461/2461	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2004:20:23%20GMT	https://blablaland.co/site/jeu_donjon.php	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/site/jeu_donjon.html	(from https://blablaland.co/)
06:20:24	7471/7471	---M--	200	added ('OK')	image/png	etag:%221d2f-62d7157f-ce4bd9;;;%22	https://blablaland.co/data/backgr/old/menu/jeu_donjon.png	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/data/backgr/old/menu/jeu_donjon.png	(from https://blablaland.co/)
06:20:24	2461/2461	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2004:20:24%20GMT	https://blablaland.co/site/jeu_manoir.php	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/site/jeu_manoir.html	(from https://blablaland.co/)
06:20:24	9840/9840	---M--	200	added ('OK')	image/png	etag:%222670-62d7157f-ce4bda;;;%22	https://blablaland.co/data/backgr/old/menu/jeu_manoir.png	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/data/backgr/old/menu/jeu_manoir.png	(from https://blablaland.co/)
06:20:24	2461/2461	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2004:20:24%20GMT	https://blablaland.co/site/jeu_pyramide.php	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/site/jeu_pyramide.html	(from https://blablaland.co/)
06:20:25	6628/6628	---M--	200	added ('OK')	image/png	etag:%2219e4-62d7157f-ce4bdb;;;%22	https://blablaland.co/data/backgr/old/menu/jeu_pyramide.png	C:/Users/LOUKILI%20Morad/Desktop/3H/bblco/blablaland.co/data/backgr/old/menu/jeu_pyramide.png	(from https://blablaland.co/)
